"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"679",269.05167,101.82613,-69.41,-72.16082,185.4389,-70.78541,460.0073599,0.10280022,"Radar_Images/tiff/s_0032xx/s_00325701_tiff.lbl","Radar_Images/tiff/s_0032xx/s_00325701_tiff.tif","Radar_Images/geom/s_0032xx/s_00325701_geom.tab","decreasing","decreasing",4889,"good"
"21459",357.57161,347.71267,-19.80173,-69.776,352.64214,-44.788865,492.6933295,-32768,"Radar_Images/tiff/s_0557xx/s_05578801_tiff.lbl","Radar_Images/tiff/s_0557xx/s_05578801_tiff.tif","Radar_Images/geom/s_0557xx/s_05578801_geom.tab","decreasing","decreasing",6445,"good"
"4495",319.38192,310.53895,-39.64971,-72.72182,314.960435,-56.185765,292.4556766,-32768,"Radar_Images/tiff/s_0086xx/s_00863501_tiff.lbl","Radar_Images/tiff/s_0086xx/s_00863501_tiff.tif","Radar_Images/geom/s_0086xx/s_00863501_geom.tab","decreasing","decreasing",4271,"good"
"10066",225.6409,214.53445,73.393196,27.980488,220.087675,50.686842,504.3739708,0.201597661,"Radar_Images/tiff/s_0261xx/s_02612301_tiff.lbl","Radar_Images/tiff/s_0261xx/s_02612301_tiff.tif","Radar_Images/geom/s_0261xx/s_02612301_geom.tab","decreasing","decreasing",5862,"good"
"11156",28.738054,16.666049,75.110153,28.913561,22.7020515,52.011857,557.6854896,0.165436298,"Radar_Images/tiff/s_0273xx/s_02738301_tiff.lbl","Radar_Images/tiff/s_0273xx/s_02738301_tiff.tif","Radar_Images/geom/s_0273xx/s_02738301_geom.tab","decreasing","decreasing",5964,"good"
"17849",147.22109,137.24734,-33.25847,-73.02541,142.234215,-53.14194,396.6255178,0.628161788,"Radar_Images/tiff/s_0462xx/s_04624901_tiff.lbl","Radar_Images/tiff/s_0462xx/s_04624901_tiff.tif","Radar_Images/geom/s_0462xx/s_04624901_geom.tab","decreasing","decreasing",5134,"good"
"13914",187.41962,25.72642,-71.91578,-77.93627,106.57302,-74.926025,973.4722937,0.054374166,"Radar_Images/tiff/s_0365xx/s_03650201_tiff.lbl","Radar_Images/tiff/s_0365xx/s_03650201_tiff.tif","Radar_Images/geom/s_0365xx/s_03650201_geom.tab","decreasing","decreasing",3812,"good"
"23723",351.29832,341.32334,-19.79064,-69.76399,346.31083,-44.777315,498.4831668,-32768,"Radar_Images/tiff/s_0616xx/s_06167001_tiff.lbl","Radar_Images/tiff/s_0616xx/s_06167001_tiff.tif","Radar_Images/geom/s_0616xx/s_06167001_geom.tab","decreasing","decreasing",6446,"good"
"18363",348.48936,343.31857,-30.05111,-59.51299,345.903965,-44.78205,152.3411945,-32768,"Radar_Images/tiff/s_0470xx/s_04704601_tiff.lbl","Radar_Images/tiff/s_0470xx/s_04704601_tiff.tif","Radar_Images/geom/s_0470xx/s_04704601_geom.tab","decreasing","decreasing",3799,"good"
"618",299.48633,280.65024,79.893799,19.875152,290.068285,49.8844755,1130.516637,0.462470353,"Radar_Images/tiff/s_0031xx/s_00317701_tiff.lbl","Radar_Images/tiff/s_0031xx/s_00317701_tiff.tif","Radar_Images/geom/s_0031xx/s_00317701_geom.tab","decreasing","decreasing",7757,"good"
